response,context,context/0,context/1,context/2,context/3,context/4,context/5
aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi .",theek hai. mujhe lagta hai ke mein tab tak jaag jaoon ga .,mein raat ka khana 6 : 00 bujey shuru karoon ga .,nahi shukriya. bas mujhe sonay do jab tak mein jaag nah jaoon,kya aap chahtay hain ke mein aap ko aik ghantay mein jaga dun ?,yeh acha khayaal hai .,aap ko phone un plug karna chahiye .
aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi .",theek hai. mujhe lagta hai ke mein tab tak jaag jaoon ga .,mein raat ka khana 6 : 00 bujey shuru karoon ga .,nahi shukriya. bas mujhe sonay do jab tak mein jaag nah jaoon,kya aap chahtay hain ke mein aap ko aik ghantay mein jaga dun ?,yeh acha khayaal hai .
mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi .",theek hai. mujhe lagta hai ke mein tab tak jaag jaoon ga .,mein raat ka khana 6 : 00 bujey shuru karoon ga .,nahi shukriya. bas mujhe sonay do jab tak mein jaag nah jaoon,kya aap chahtay hain ke mein aap ko aik ghantay mein jaga dun ?
yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi .",theek hai. mujhe lagta hai ke mein tab tak jaag jaoon ga .,mein raat ka khana 6 : 00 bujey shuru karoon ga .,nahi shukriya. bas mujhe sonay do jab tak mein jaag nah jaoon
"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi .",theek hai. mujhe lagta hai ke mein tab tak jaag jaoon ga .,mein raat ka khana 6 : 00 bujey shuru karoon ga .
betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi .",theek hai. mujhe lagta hai ke mein tab tak jaag jaoon ga .
yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?,"agar nahi, to aap ki naak aap ko jagaaye gi ."
mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .,aap ka matlab hai ke mujhe khana pakanay ki khushbu aaye gi ?
lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon,aap raat ke khanay ke baray mein khawab bhi dekh satke hain .
mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .,mujhe nahi lagta ke mein kisi cheez ke baray mein khawab dekhnay ja raha hon. mein waqai thaka sunhwa hon
mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha .",yeh aik acha janaza tha .
kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .,"jee haan, waalid, yeh tha ."
bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .,betay ne apne baap ke baray mein achi taqreer ki .
mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .,yeh bhi taweel tha .
haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .,mere khayaal mein yeh taqreeban 45 minute lamba tha .
mujhe apni naak urane pari .,haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .,lekin yeh taizi se chala gaya. yeh dilchasp tha .
kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .,haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .,mujhe yeh pasand hai .
kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .,haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?,mein aap ko bhi aisi hi taqreer dun ga .
yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .,haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .,kya aap ko lagta hai ke koi mere janazay par aaye ga ?
yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .,haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .,bilkul .
"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .,haan! woh shore kya tha ?,mujhe lagta hai ke wahan sirf family hi hogi .
theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .,haan! woh shore kya tha ?
mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?,mujhe apni naak urane pari .
tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?,kya aap ko phone ke bilkul paas phonkna para ?
aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .,kya tum ne woh suna ?
mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .,yaqeenan mein ne suna hai. mein ne socha ke koi tayyarah aap ke ghar se takra gaya hai .
waqai? tumahray paas kitney hain ?,mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge .",yeh itna buland nahi tha .
"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?,mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .,"mein aap ke liye kisi waqt naak ura dun ga, aur aap dekhen ge ."
yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?,mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .,theek hai. mein is ke liye aap ka lafz lon ga .
bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?,mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .,mein ne socha ke aap ke ghar mein hathi hai .
aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?,mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .,tum mazahiy ho .
mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?,mere bohat se dost hain .,aap ne kya kaha? mujhe lagta hai ke mein berha ho gaya hon .
mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?,mere bohat se dost hain .
mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so .",waqai? tumahray paas kitney hain ?
mere sirf chand dost hain .,mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?,"mujhe nahi maloom, shayad aik so ."
aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .,mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .,yeh bohat saaray dost hain. kya aap ka koi behtareen dost hai ?
tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .,mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?,bilkul. mere bohat se behtareen dost hain .
mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .,mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .,aap ke kitney behtareen dost hain ?
kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .,mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .,mein pachees ke baray mein sochta hon .
"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .,mujhe aap ke liye afsos hai .,mera sirf aik behtareen dost hai .
mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .,mujhe aap ke liye afsos hai .
mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .,mere sirf chand dost hain .
agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do,aap ko tanha hona chahiye. mein aap ke sath apne doston ka ishtiraaq karoon ga .
"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?,tum mujhe kabhi dhoka mat do
mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .,mein aisa kyun karne laga ?
mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi .",kyunkay mard dhoka dena pasand karte hain .
mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .,"kuch mard karte hain, lekin mein nahi ."
mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho,mein tumhe dekh raha hon .
mein bhi .,mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .,mein aik khuli kitaab hon. tum sab mujhe dekho
aap ko bahar jane se nafrat kyun hai ?,mein bhi .,mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon .",agar mein aap ko pokarta hon to aap moazrat khuwa hon ge .
mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?,mein bhi .,mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .,"tum mujhe nahi pakro ge, kyunkay mein tum se pyar karta hon. mein dhoka baz nahi hon ."
mein raazi hon .,mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?,mein bhi .,mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .,mein tumhari ankhen nikaal dun ga .
yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .,mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?,mein bhi .,mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .,mujhe koi doosri aurat nahi chahiye .
bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .,mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?,mein bhi .,mujhe bahar jane se nafrat hai .,mein aap ki unglio ko aik aik karkay kaat dun ga .
lekin aap kya kar satke hain ?,bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .,mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?,mein bhi .,mujhe bahar jane se nafrat hai .
aap un par cheekh satke hain .,lekin aap kya kar satke hain ?,bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .,mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?,mein bhi .
aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .,lekin aap kya kar satke hain ?,bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .,mein bohat saaray jhatkay se milta hon .,aap ko bahar jane se nafrat kyun hai ?
cheekhna acha nahi karta,aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .,lekin aap kya kar satke hain ?,bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .,mein bohat saaray jhatkay se milta hon .
kya aap is form ko dekhen ge ?,cheekhna acha nahi karta,aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .,lekin aap kya kar satke hain ?,bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .,mein raazi hon .
kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?,cheekhna acha nahi karta,aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .,lekin aap kya kar satke hain ?,bad tameez log har jagah hain .,yeh shehar jhatkon se bhara sunhwa hai .
mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?,cheekhna acha nahi karta,aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .,lekin aap kya kar satke hain ?,bad tameez log har jagah hain .
mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?,cheekhna acha nahi karta,aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .,lekin aap kya kar satke hain ?
""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?,cheekhna acha nahi karta,aur woh tum par wapas chalein ge .,aap un par cheekh satke hain .
""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?,cheekhna acha nahi karta,aur woh tum par wapas chalein ge .
""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?,cheekhna acha nahi karta
yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?,kya aap is form ko dekhen ge ?
mein nahi samjha,yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati,kya aap ko is mein pareshani hai ?
"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha,yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .,mujhe kuch cheeze samajh nahi aati
oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha,yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?",mujhe aap ki madad karne do .
aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha,yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai .",""" mi"" ka kya matlab hai ?"
aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha,yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?",""" mi"" ka matlab darmiyani ibtidayi hai ."
mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha,yani mahana saal. number istemaal karen .,""" mmddyy"" ka kya matlab hai ?"
yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha,yani mahana saal. number istemaal karen .
mein usay un chhootey kutton mein se aik lau ga .,yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain .",mein nahi samjha
aik jo bohat bara nahi hoga .,mein usay un chhootey kutton mein se aik lau ga .,yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .,"misaal ke tor par, agar aap ki tareekh paidaiesh 12 January 1987 hai to 011287 likhain ."
aur bohat ziyada khatay hain .,aik jo bohat bara nahi hoga .,mein usay un chhootey kutton mein se aik lau ga .,yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .,oh yeh kaafi aasaan hai .
kya aap jantay hain ke woh kon sa pasand kere ga ?,aur bohat ziyada khatay hain .,aik jo bohat bara nahi hoga .,mein usay un chhootey kutton mein se aik lau ga .,yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?,aayiyae janwaron ki panah gaah mein chaltay hain .
"oh, haan, mein usay kal wahan le gaya tha. is ne mujhe aik dekhaya jo usay waqai pasand tha .",kya aap jantay hain ke woh kon sa pasand kere ga ?,aur bohat ziyada khatay hain .,aik jo bohat bara nahi hoga .,mein usay un chhootey kutton mein se aik lau ga .,yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .,aap kya karna chahtay hain ?
mein shart lagaata hon ke aap ko usay ghaseetna para .,"oh, haan, mein usay kal wahan le gaya tha. is ne mujhe aik dekhaya jo usay waqai pasand tha .",kya aap jantay hain ke woh kon sa pasand kere ga ?,aur bohat ziyada khatay hain .,aik jo bohat bara nahi hoga .,mein usay un chhootey kutton mein se aik lau ga .,yeh usay bohat khush kere ga .,mein apne betay ke liye kuttay ka bacha lena chahta hon .
