Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,Index
Does Contraception prevent against Sexually Transmitted infections?,"Methods of contraception like pills do not protect against STI.

Using condoms provide protection against spreading STIs but it’s not 100% .",kya Maney hamal jinsi tor par muntaqil honay walay infection ko rokta hai ?,"Maney hamal ke tareeqay jaisay golian sti se hifazat nahi kartin .
 
 kndom ka istemaal stis ko phelanay se tahaffuz faraham karta hai lekin yeh 100 % nahi hai .",,
What are some myths about Sexually Transmitted Infections?,"The virsues like hepatitis B and C and HIV is not passed on during normal social contact, such as holding hands, hugging, or sharing cups or crockery.
",jinsi tor par muntaqil honay walay infection ke baray mein kuch khurafaat kya hain ?,"hepatitis bi aur si aur HIV jaisay virus aam samaji raabtey ke douran muntaqil nahi hotay hain, jaisay haath pakarna, gilaay lagana, ya cupp ya crokrey baantna .",,
Does hepatitis B or hepatitis C spread through contact?,"The virsues like hepatitis B and C and HIV is not passed on during normal social contact, such as holding hands, hugging, or sharing cups or crockery.
",kya hepatitis bi ya hepatitis si raabtey se phialta hai ?,"hepatitis bi aur si aur HIV jaisay virus aam samaji raabtey ke douran muntaqil nahi hotay hain, jaisay haath pakarna, gilaay lagana, ya cupp ya crokrey baantna .",,
What are some precautions that I should take if I have an Sexually Transmitted Infection (STI)?,"It is advised to practice safe sex in order to avoid catching STIs. 
",agar mujhe jinsi tor par muntaqil honay wala infection ( sti ) hai to mujhe kya kuch ahteyati tadabeer ikhtiyar karni chahiye ?,stis se bachney ke liye mehfooz jinsi amal karne ka mahswara diya jata hai .,,
What is safe sex?,"
Using condoms (male and female) while sex is a highly recommended barrier method. Although it doesn’t provide 100% protection but does prevent spread of STIs to a greater extent.

Even if you are in a committed relation, it is highly recommended to use condom as the STI bugs most of the times do not cause symptoms but can be spread to the other individual and start producing symptoms/ problems .  

You need to be extremely cautious if you are a sex worker as sex with multiple partners is a huge risk factor of STI. use barrier methods and get screening tests done frequently so that even if there is an STI bug, even if that’s not causing any obvious problems, can be treated to prevent any potential complications and also to avoid spread of the bug.",mehfooz jinsi taluqaat kya hai ?,"jinsi taluqaat ke douran kndom ( mard aur khawateen ) ka istemaal aik intehai sifarish kardah rukawat ka tareeqa hai. agarchay yeh 100 % tahaffuz faraham nahi karta lekin stis ke phelao ko ziyada had tak rokta hai .
 
 yahan tak ke agar aap aik prazm rishta mein hain, to kndom istemaal karne ki intehai sifarish ki jati hai kyunkay sti ke keeray aksar alamaat ka sabab nahi bantay lekin dosray fard mein phail satke hain aur alamaat ke masail peda karna shuru kar dete hain .
 
 agar aap sex worker hain to aap ko intehai mohtaat rehne ki zaroorat hai kyunkay mutadid partnrz ke sath jinsi talluq sti ka aik bohat bara khatrah hai. rukawat ke tareeqay istemaal karen aur baar baar screening test karwaen taakay agar koi sti big hai, chahay is se koi wazeh masla nah ho, is ka ilaaj kisi bhi mumkina pechidgion ko roknay aur big ke phelao se bachney ke liye kya ja sakta hai .",,
How can I prevent Sextually Transmitted Infections (STI)?,"You can prevent Sexually Transmitted Infections using Cervical Screening, Vaccines, or taking precautions.
",mein jinsi tor par muntaqil honay walay infection ( sti ) ko kaisay rokkk sakta hon ?,"aap cervical screening, vaccine, ya ahteyati tadabeer ikhtiyar karkay jinsi tor par muntaqil honay walay infection ko rokkk satke hain .",,
What is Cervical screening?,"Cervical screening  is a method to detect any abnormal changes in the cervix. One can be prevented from having cervical cancer and it’s consequences by a simple test. Cervical cancer is caused by HPV (human papillomavirus).",cervical screening kya hai ?,cervical screening garewa mein kisi bhi ghair mamooli tabdeeli ka pata laganay ka aik tareeqa hai. kisi ko cervical cancer honay se bachaya ja sakta hai aur aik saada test ke zariye is ke nataij nikaltay hain. cervical cancer hpv ( human papillomavirus ) ki wajah se hota hai .,,
How can Vaccines prevent against Sexually Transmitted Infections (STI)?,"Vaccine against human papilloma virus (HPV) is available. 2 doses are recommended and it is advised to get the vaccine before you are sexually active.

Hepatitis B vaccination is also available and it’s highly effective.",vaccine jinsi tor par muntaqil honay walay infection ( sti ) ke khilaaf kaisay rokkk sakti hai ?,"Vaccine against human papilloma virus (HPV) is available. 2 doses are recommended and it is advised to get the vaccine before you are sexually active.

Hepatitis B vaccination is also available and it’s highly effective.",,
What are some precautions that I should take if I have an Sexually Transmitted Infection (STI)?,Condoms may be used to prevent spread of STIs. there are male and female condoms available.,agar mujhe jinsi tor par muntaqil honay wala infection ( sti ) hai to mujhe kya kuch ahteyati tadabeer ikhtiyar karni chahiye ?,stis ke phelao ko roknay ke liye kndom ka istemaal kya ja sakta hai. mard aur zanana kndom dastyab hain .,,
How does Sexually Transmitted Infection (STI) affect fertility?,"STIs can cause impotency in  male and infertility in women, because usually patients do not seek expert advice and they rely on self-medication owing to social taboos as STIs are sex-borne diseases. Hence patients avoid seeing doctor. 

STIs if left untreated damage the reproductive tract hence cause difficulty in conceiving and infertility.",jinsi tor par muntaqil honay wala infection ( sti ) zarkhaizi ko kaisay mutasir karta hai ?,"stis mardon mein namardi aur khawateen mein banjh pan ka sabab ban satke hain, kyunkay aam tor par mareez maahir se mahswara nahi letay aur samaji mamnoaat ki wajah se woh khud adwiyaat par inhisaar karte hain kyunkay stis jinsi bemariyan hain. is liye mareez dr se milnay se guraiz karte hain .
 
 stis agar ilaaj nah kya jaye to toleedi rastay ko nuqsaan pohanchana hai is liye haamla honay aur banjh pan mein dushwari ka baais banti hai .",,
What are some other complications with Sexually Transmitted Infection (STI)?,"Some other complications that STIs can cause include Pelvic inflammatory disease, Cervical cancer and STI in pregnancy.
",jinsi tor par muntaqil honay walay infection ( sti ) ke sath kuch deegar paichidgiyan kya hain ?,"kuch doosri paichidgiyan jo stis ka sabab ban sakti hain un mein shuruni soozish ki bemari, garewa ka cancer aur hamal mein sti shaamil hain .",,
What is Pelvic inflammatory disease?,"STIs is one among the causes of pelvic inflammatory. It causes back pain, abnormal vaginal discharge and bleeding, tummy pain and fever. It is the infection of womb and its surrounding structures hence one may end up with pregnancy outside the womb (ectopic pregnancy) or infertility. The condition can be treated with antibiotics.  
",shuruni soozish ki bemari kya hai ?,"stis shuruni soozish ki wajohaat mein se aik hai. is se kamar mein dard, andaam nihani/vagina se ghair mamooli kharij honay wala madah/discharge aur khoon behna, pait mein dard aur bukhaar hota hai. yeh reham aur is ke ird gird ke dhanchay ka infection hai is liye reham se bahar hamal ( ectopic hamal ) ya banjh pan ke sath khatam ho sakta hai. haalat ka ilaaj antibiotics se kya ja sakta hai .",,
What is Cervical cancer?,"Cervical cancer is caused by human papillomavirus (HPV). it can be prevented by vaccination against HPV and can be early detected and treated by routine screening test.
",cervical cancer kya hai ?,cervical cancer human papillomavirus ( hpv ) ki wajah se hota hai. usay hpv ke khilaaf vaccination ke zariye roka ja sakta hai aur mamool ki screening test ke zariye is ka jald pata lagaya ja sakta hai .,,
What is STI in pregnancy?,"If you are pregnant and have any of STIs it is highly possible that the infection might spread to  baby inside the womb or while giving birth. 
You must consult gynaecologist and discuss this issue in detail.",hamal mein sti kya hai ?,"agar aap haamla hain aur aap ko STI mein se koi hai to yeh bohat mumkin hai ke infection reham ke andar ya bachay ko janam dete waqt phail jaye .
 aap ko gaynakalojst se mahswara karna chahiye aur is maslay par tafseel se baat karna chahiye .",,
