Intent,Response,Relevance,Intent (Roman Urdu),Response (Roman Urdu),,Index
At what age do periods start?,"Periods usually begin at around the age of 12, although some girls will start them earlier or later. A delay in starting periods isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18",1,Mahvari kis umer me shuruh hoti hai?,"mahvari aam tor par 12 saal ki umar mein shuru hoti hai, halaank kuch larkiyan inhen pehlay ya baad mein shuru kar deti hain. adwaar shuru honay mein takheer aam tor par tashweesh ka baais nahi hoti. ziyada tar larkiyon ko 16 se 18 saal ki umar mein baqaidagi se mahvari anay lagti hai .",,
At what age do periods end?,Menopause is the time that marks the end of your menstrual cycles. It's diagnosed after you've gone 12 months without a menstrual period. Menopause can happen in your 40s or 50s.,1,Mahvari kis umer me khatam hoti hai?,menopause woh waqt hai jo aap ke mahvari ke ekhtataam ki nishandahi karta hai. is ki tashkhees is waqt hoti hai jab aap 12 mah baghair haiz ke guzar chuke hon. rajunoorti/menopause aap ke 40 ya 50 ki dahai mein hosakti hai .,,
How long does a period last?,"Your period can last between 3 and 8 days, but it will usually last for about 5 days. The bleeding tends to be heaviest in the first 2 days.",1,Mahvari kitni lambi chalti hai?,"aap ki mahwaari 3 se 8 din ke darmiyan reh sakti hai, lekin yeh aam tor par taqreeban 5 din tak jari rahay gi. khoon behna pehlay 2 dinon mein sab se ziyada hota hai .",,
Isn't Period Blood Just Regular Blood?,"Period blood is made up of the same blood that is flowing through your veins, but it also contains tissue that has been shed from the lining of your uterus. That's why its color and consistency are different from what you would see if you, say, cut your finger.",1,Kia mahvari ka khoon aam khoon ki tarah hai?,"mahvari ka khoon isi khoon se bana hota hai jo aap ki ragon se beh raha hai, lekin is mein woh tissue bhi hota hai jo aap ki bacha daani/uterus ki parat se baha hota hai. is liye is ka rang aur mustaqil mizaji is se mukhtalif hai jo aap dekhen ge ke agar aap apni ungli kaat den ge .",,
Do boys get periods?,"No, they do not. Only females do.",1,Kia Larko ko mahvari aati hai?,"nahi, woh nahi karte. sirf khawateen hi karti hain .",,
What does a period feel like?,"The actual flow of your period doesn’t feel like much when it’s happening. Chances are, you won’t even feel it coming out. When you actually start your period, you may feel some dampness in your private area — this may be caused by a few spots of blood on your underwear.",1,Mahvari kaisi mehsus hoti hai?,"aap ke mahvari ka asal bahao ziyada mehsoos nahi hota jab yeh ho raha hai. imkanaat hain, aap ko yeh mehsoos bhi nahi hoga ke yeh bahar aata hai. jab aap waqai apni mahvari shuru karte hain, to aap ko apne private hissay mein kuch nami mehsoos hosakti hai - yeh aap ke zair jama par khoon ke chand dhabbon ki wajah se ho sakta hai .",,
Does having your period smell?,"Healthy periods can have a slight smell of blood. They may even have a slight metallic smell from iron and bacteria, something like a copper coin. Generally speaking, period odors aren't noticeable to others. Good hygiene practices can also combat normal period odors and make you more comfortable during menstruation.",1,Kia mahvari me badbu hoti hai?,"sehat mand mahvari mein khoon ki halki bo aa sakti hai. un mein lohay aur bacteria se halki si dhaati bo bhi ho sakti hai, tanbay ke sakay ki terhan. aam tor par, muddat ki badboo doosron ke liye qabil tawajah nahi hai. hifzaan sehat ke achay tareeqay mamool ki badboo se bhi lar satke hain aur mahvari ke douran aap ko ziyada aaraam da bana satke hain .",,
Does having your period hurt?,"Menstruation itself doesn’t hurt, but some girls and women get cramps or other symptoms during their periods that may be uncomfortable. This is typically due to the hormones your body releases during menstruation that cause the uterus to contract so it can shed it’s lining.",1,Kia Mahvari taqleef de hotay hai?,"mahvari khud takleef nahi deti, lekin kuch larkiyon aur khawateen ko mahvari ke douran dard ya deegar alamaat hoti hain jo takleef da hosakti hain. yeh aam tor par haiz ke douran aap ke jism se kharij honay walay harmons ki wajah se hota hai jis ki wajah se bacha daani/uterus suker jati hai taakay yeh is ke Aster ko baha sakay .",,
Is there anything I won’t be able to do when I have my period?,"Your period doesn’t have to stop you from doing things you usually do. You can still go to school, help at home, see your friends, play sports and do all the things you would normally do.",1,Kia koi aisi chez hai jo me mahvari me nahi karsakti?,"aap ki mahvari aap ko un kamon se roknay ki zaroorat nahi hai jo aap aam tor par karte hain. aap ab bhi school ja satke hain, ghar mein madad kar satke hain, apne doston ko dekh satke hain, khail khail satke hain aur woh tamam kaam kar satke hain jo aap aam tor par karte hain .",,
How much blood do I lose during my period?,"Most girls lose about 60 milliliters (about 4 tablespoon) of menstrual fluid during their periods (mostly in the first few days). Not to worry, though — your body makes up for it.",1,Meray mahvari me kitna khoon nikalta hai?,"ziyada tar larkiyan mahvari ke douran taqreeban 60 mili letter ( taqreeban 4 khanay ke chamach ) pani se mahroom ho jati hain ( ziyada tar pehlay chand dinon mein ). pareshan honay ki koi baat nahi, agarchay aap ka jism is ke liye tayyar hai .",,
Why are there small clots in my period,"It's perfectly normal to notice some clumps from time to time during your period. These are blood clots that may contain tissue. As the uterus sheds its lining, this tissue leaves the body as a natural part of the menstrual cycle. So clots of tissue are usually nothing to be concerned about.",1,Meray haiz me chotay lothray kuyn hotay hai?,"aap ki mahvari ke douran waqtan foqatan kuch jhuriyan nazar aana bilkul mamool ki baat hai. yeh khoon ke jamnay hain jin mein tissue shaamil ho satke hain. jaisa ke bacha daani/uterus apni Aster ko bahati hai, yeh tissue mahvari ke qudrati hissay ke tor par jism se nikal jata hai. lehaza tissue ke jamnay aam tor par fikar mand honay ki koi cheez nahi hai .",,
I have an emergency concern,"Aga Khan University Hospital Karachi: 0307 2747074
Aurat Foundation Karachi: 582 4694 
Shirkat Gah Karachi: 432 21623 
Aurat Foundation Lahore: 595 9027-9 
Shirkat Gah Lahore: 583 8815
Aurat Foundation Peshawar: 260 8956-8 ",1,mujhe aik hungami tashweesh/emergency hai .,"Aga Khan University Hospital Karachi: 0307 2747074
Aurat Foundation Karachi: 582 4694 
Shirkat Gah Karachi: 432 21623 
Aurat Foundation Lahore: 595 9027-9 
Shirkat Gah Lahore: 583 8815
Aurat Foundation Peshawar: 260 8956-8 ",,
Can I go to school during my period,"Your period doesn’t have to stop you from doing things you usually do. You can still go to school, help at home, see your friends, play sports and do all the things you’d normally do.",1,Kia me mahvari ke darmian school jaa sakti hai?,"aap ki mahvari aap ko un kamon se roknay ki zaroorat nahi hai jo aap aam tor par karte hain. aap ab bhi school ja satke hain, ghar mein madad kar satke hain, apne doston ko dekh satke hain, khail khail satke hain aur woh tamam kaam kar satke hain jo aap aam tor par karte hain .",,
What is menopause?,Menopause is when your periods stop due to lower hormone levels. This usually happens between the ages of 45 and 55.,1,rajunorti/menopause/menopause kia hai?,rajunorti/menopause is waqt hoti hai jab hormone ki kam satah ki wajah se aap ki mahvari ruk jati hai. yeh aam tor par 45 aur 55 saal ki umar ke darmiyan hota hai .,,
Is it normal to have a period twice in a month?,"Yes, it’s possible. Why? Some months, your menstrual cycle may last for more or fewer days than the previous month. Or your cycle may start earlier or later than before. If you usually have a regular cycle, a change in your cycle could indicate a medical condition. In case of any concerns, please talk to your doctor to get individual medical advice.",1,Kia Mahinay me do dafa mahvari aana theek hai?,"haan, yeh mumkin hai. kyun? kuch mahino mein, aap ka mahvari pichlle mahinay ki nisbat ziyada ya kam dinon tak jari reh sakta hai. ya aap ka cycle pehlay se pehlay ya baad mein shuru ho sakta hai. agar aap ke paas aam tor par baqaida cycle hai, to aap ke cycle mein tabdeeli tibbi haalat ki nishandahi kar sakti hai. kisi bhi tashweesh ki soorat mein, barah karam infiradi tibbi mahswara haasil karne ke liye apne dr se baat karen .",,
What are the reasons for less bleeding during periods?,"Lighter periods than usual do not usually cause concern. People often find their menstrual flow varies from month-to-month, and some months are naturally lighter than others. The following factors can cause periods to be lighter than usual: a lack of ovulation, being underweight, stress, pregnancy or a medical condition. Please talk to your doctor to get individual medical advice. ",1,Mahvari ke darmian kum khoon anay ki waja kia hai?,"mamool se halka haiz aam tor par tashweesh ka baais nahi hota hai. log aksar dekhte hain ke un ki mahvari ka bahao maheena bah maheena mukhtalif hota hai, aur kuch mahinay qudrati tor par doosron ke muqablay halkay hotay hain. darj zail awamil mahvari ko mamool se halka kar satke hain : beza daani ki kami, wazan kam hona, tanao, hamal ya tibbi haalat. infiradi tibbi mahswara haasil karne ke liye barah karam –apne dr se baat karen. woh yeh bhi bta satke hain ke Maney hamal tareeqay aap ke mahvari ke dard ko kaisay kam kar satke hain .",,
Are cycle-related symptoms common?,"You are not alone! Cycle-related symptoms are experienced by about eight out of ten women at some stage during their fertile lives. If you complain about disturbances such as excessive cravings, you may experience symptoms that differ from those your sister or your best friend is suffering from. Even if your symptoms are identical to someone else‘s, you may feel them more or less intensely. If you suffer from any of these symptoms on a regular basis, always a few days before your period sets in, talk to your doctor.",1,Kia Cycle se mutaliq alaamat aam hai?,"tum tanha naahi ho! cycle se mutaliq alamaat das mein se aath khawateen ko un ki zarkhaiz zindagi ke douran kisi nah kisi marhalay par mehsoos hoti hain. agar aap pareshaniyon ke baray mein shikayat karte hain jaisay ke zaroorat se ziyada khwahisaat, aap ko aisi alamaat ka saamna karna par sakta hai jo aap ki behan ya aap ke behtareen dost se mukhtalif hon. yahan tak ke agar aap ki alamaat kisi aur se millti jalti hain, to aap inhen kam o besh shiddat se mehsoos kar satke hain. agar aap mustaqil bunyadon par un alamaat mein se kisi ka shikaar rehtay hain, to hamesha aap ki mahvari shuru honay se chand din pehlay, –apne dr se baat karen .",,
Is it normal to have no pain during periods?,"Period pain varies person to person and It may also vary with each period. Some periods may cause little or no discomfort, while others may be more painful. Sometimes you may get pelvic pain even when you do not have your period.",1,Kia ye normal hai ke mujay mahvari me dard na ho?,"mahvari ka dard har shakhs se mukhtalif hota hai aur yeh har daur ke sath bhi mukhtalif ho sakta hai. kuch adwaar mein thori ya koi takleef ho sakti hai, jabkay deegar ziyada takleef da ho sakti hain. baaz auqaat aap ko haiz nah anay par bhi sharoniye dard ho sakta hai .",Don't tease :),
Why Do I Feel So Full During My Period?,You may be experiencing bloating. Bloating usually occurs a week before and a few days into the period. Bloating is the cause of hormonal changes in your body.,1,Me apni Mahvari me itna bhara hua kuyn mehsoos karti hun?,aap ko phoolnay ka saamna ho sakta hai. aphara aam tor par mahvari se aik hafta pehlay aur chand din pehlay hota hai. اپھارہ aap ke jism mein hormonal tabdeelion ki wajah hai .,"Find a better ""scientific"" answer",
What is puberty?,"Between the ages of 8-15 (usually), all girls go through that life stage known as puberty. It starts with a rapid growth spurt - so you grow a few inches, your breasts bud, and then gasp - hair in new places! Finally you may notice a sticky white discharge on your underwear. It’s ok! This is just your body prepping for its first period. Once that happens, you’ve officially joined the club.",1,Balooghat kia hai?,"8-15 saal ki umar ke darmiyan ( aam tor par ), tamam larkiyan zindagi ke is marhalay se guzarti hain jisay baloghat kaha jata hai. yeh taizi se bherne ke sath shuru hota hai - lehaza aap kuch inch barhatay hain, aap ki chatiyon mein kaliyan aati hain, aur phir hanptay hain - nai jaghon par baal! aakhir mein aap –apne zair jama par aik chip chapa safaid madah dekh satke hain. theek hai! yeh sirf aap ka jism apni pehli muddat ke liye tayari kar raha hai. aik baar aisa honay ke baad, aap bazabta tor par club mein shaamil ho gaye hain .",Also include question on nausea and some home remedies,
How do periods affect weight,"Your weight may be affected by hormonal fluctuations, water retention, snacking and not exercising because of period pains. You may gain 1 to 2kg which generally goes away within a few days",1,Mahvari Wazan pe kis tarah asar karta hai?,"aap ka wazan harmons ke utaar charhao, pani ko barqarar rakhnay, snacking aur mahvari ke dard ki wajah se werzish nah karne se mutasir ho sakta hai. aap ka wazan 1 se 2 klov ho sakta hai jo aam tor par chand dinon mein khatam ho jata hai .",,
Is Premenstrual Syndrome real?,"Yes, PMS (premenstrual syndrome) is not a myth! 8 out of 10 women do experience some discomfort shortly before their monthly period sets in. These symptoms are caused by the hormonal changes of the cycle and for many women they are so severe that they impact on their daily lives – both in personal and working aspects.",1,Kia Premenstrual Syndrome haqiqi hai?,"jee haan, PMS ( premenstrual syndrome ) koi afsana nahi hai! 10 mein se 8 khawateen ko mahana mahvari shuru honay se kuch der pehlay kuch takleef hoti hai. yeh alamaat cycle ki hormonal tabdeelion ki wajah se hoti hain aur bohat si khawateen ke liye yeh itni shadeed hoti hain ke un ki roz marrah ki zindagi par assar parta hai zaati aur kaam ke dono pehluo mein. .",,
How Can I Control PMS Symptoms?,"You may want to exercise, skip salty foods, and cut back on caffeine the week before your period. If your mood is still tricky, talk to your doctor. They may suggest you take medication.",1,mein pms ki alamaat ko kaisay control kar sakti hon ?,"aap apni mahvari se aik hafta pehlay werzish karna, namkeen khaano ko chhorna, aur caffeine ko kam karna chahtay hain. agar aap ka mood ab bhi mushkil hai to apne dr se baat karen. woh aap ko dawa lainay ka mahswara day satke hain .","discourage medication, since it will cause dependency... every month for almost the rest of their lives.",
Why Do I Crave Junk Food?,"We're not sure what exactly causes cravings and other PMS symptoms, but it seems like hormones are involved. Some women really want foods like ice cream, chocolate, and potato chips when their period comes. Need something sweet? Reach for fruits instead. Want fatty, fried, or greasy foods? Choose healthier fatty foods like salmon and nuts.",1,Mujay Junk food khanay ki talab kuyn hoti hai?,"hamein yaqeen nahi hai ke khwahisaat aur pms ke deegar alamaat ka asal sabab kya hai, lekin aisa lagta hai ke harmons mulawis hain. kuch khawateen waqai mein ice kareem, chocolate aur aalo ke chips jaisay khanay ki khwahish karti hain jab un ki mahvari aati hai. kuch meetha chahiye? is ke bajaye phalon tak pohnchain. charbi wali, tali hui ya chiknai wali ghazayen chahtay hain? saalman aur giri daar meway jaisay sehat mand charbi walay khanay ka intikhab karen .",,
Should I tell my husband that I am on my period?,"Remember, there’s no shame in talking about your period or the changes in your body! It’s a natural and healthy process and getting it monthly(ish) means your body is doing its job. Plus, talking about your period openly with your partner is a significant first step to get into other important discussions, like birth control or sex. If you don’t feel comfortable talking about your period yet, consider whether it might be better to hold off on any decision to become sexually active until you and your partner can communicate openly about these topics.",1,kya mein –apne shohar ko bta dun ke mein mahvari par hon ?,"yaad rakhen, aap ki mahwaari ya aap ke jism mein honay wali tabdeelion ke baray mein baat karne mein koi sharam ki baat nahi hai! yeh aik qudrati aur sehat mand amal hai aur usay mahana haasil karne ka matlab hai ke aap ka jism apna kaam kar raha hai. is ke ilawa, –apne saathi ke sath apni mahwaari ke baray mein khil kar baat karna doosri ahem baat cheet mein shaamil honay ke liye aik ahem pehla qadam hai, jaisay birth control ya jinsi taluqaat. agar aap abhi tak apni mahvari ke baray mein baat karne mein raahat mehsoos nahi karte hain, to ghhor karen ke kya jinsi tor par fa-aal honay ke kisi bhi faislay ko is waqt tak rokna behtar hoga jab tak ke aap aur aap ka saathi un mozuaat ke baray mein khil kar baat nah kar len .",,
Can I get pregnant if I’ve never had my period?,"Yes, you can. We have to admit it can be a bit misleading, but yes, you can get pregnant before your first period and here is why: getting pregnant is related to ovulation. Ovulation means that your ovaries release an egg which is ready to be fertilized by male sperm. Your first ovulation occurs around 2 weeks before your first menstruation.",1,kya mein haamla ho sakti hon agar mujhe kabhi haiz nahi aaya ?,"haan tum kar satke ho. hamein tasleem karna parre ga ke yeh qadray gumraah kin ho sakta hai, lekin haan, aap apni pehli mahvari se pehlay haamla ho sakti hain aur is ki wajah yeh hai : haamla hona beza daani se mutaliq hai. beza daani ka matlab yeh hai ke aap ki beza daani aik anda kharij karti hai jo mardana nutfa ke zariye khaadne ke liye tayyar hai. aap ka pehla beza aap ki pehli mahvari se taqreeban 2 haftay pehlay hota hai .",,
Can menstrual irregularities lead to other health problems?,"The presence of menstrual irregularities can be a sign of other health problems such as thyroid disease, POI, endometriosis, PCOS, polyps, and uterine fibroids If left untreated, menstrual irregularities can lead to or contribute to other conditions. These possible conditions vary depending on the type of menstrual irregularity, but some include thickening of the lining of the uterus (called endometrial hyperplasia), low bone density, and iron-deficient anemia. It is important for a woman with a menstrual irregularity to speak to a health care provider to determine the cause of the irregularity and to receive appropriate treatment as necessary.",1,kya mahvari ki be qaidgi deegar sehat ke masail ka baais ban sakti hai ?,"mahvari ki be qaadgyon ki mojoodgi deegar sehat ke masail ki alamat ho sakti hai jaisay ke thyroid ki bemari, poi, endometriosis, pcos, polyps, aur uterine fibroids agar ilaaj nah kya jaye to mahvari ki be qaidgi deegar halaat ka baais ban sakti hai ya is mein hissa daal sakti hai. yeh mumkina halaat mahvari ki be qaidgi ki qisam ke lehaaz se mukhtalif hoti hain, lekin kuch mein bacha daani/uterus ki parat ka gaarha hona ( jisay endometrial hyperplasia kaha jata hai ), hadion ki kam kasafat, aur iron ki kami ka khoon ki kami shaamil hain. mahvari ki be qaidgi wali aurat ke liye yeh zaroori hai ke woh be qaidgi ki wajah ka taayun karne ke liye sehat ki dekh bhaal karne walay se baat kere aur zaroorat ke mutabiq munasib ilaaj haasil kere .",,
Can menstrual irregularities lead to cancer?,"Menstrual irregularities are often a sign of an underlying condition and, in some cases, the underlying condition may be associated with a higher risk for cancer. For example, absent and irregular periods associated with estrogen production but no progesterone production are associated with endometrial cancer in about 14% of women, if the problem is recurrent, Women who experience irregular periods on a frequent basis may also have a higher risk of ovarian cancer after age 70.4 Menstrual irregularities such as heavy or prolonged menstrual bleeding are not known to be associated with cancer.",1,kya mahvari ki be qaidgi cancer ka baais ban sakti hai ?,"mahvari ki be qaidgi aksar bunyadi haalat ki alamat hoti hai aur baaz sooraton mein, bunyadi haalat cancer ke ziyada khatray se munsalik ho sakti hai. misaal ke tor par, ghair haazir aur fasid mahvari estrogen ki pedawar se wabasta hai lekin progesterone ki pedawar taqreeban 14 % khawateen mein endometrial cancer se wabasta nahi hai, agar yeh masla baar baar hota hai. 70. 4 saal ki umar ke baad dambagarinti ka cancer mahvari ki be qaadgyon jaisay ke bohat ziyada ya taweel mahvari ka khoon behna cancer se wabasta nahi hai .",,
Why are my period cramps so painful?,"Painful period cramps could be caused by heavy menstrual bleeding, which often affects you to take part in everyday life around your period. Or they could be caused by endometriosis. In this painful condition, the cells or tissue lining the uterus, grow outside the uterus. You should see your doctor who can do a blood test and get your history to help you get better. ",1,"merray mahvari ke dard itnay takleef da kyun hain ?","mahvari ke douran bohat ziyada khoon behnay ki wajah se dard naak doraniye ke dard ho satke hain, jo aksar aap ko apni mahvari ke ird gird roz marrah ki zindagi mein hissa lainay par assar andaaz hota hai. ya woh endometriosis ki wajah se ho saktay hain. is takleef da haalat mein bacha daani/uterus ke andar mojood khaliyaat ya tissue bacha daani/uterus ke bahar barhatay hain. aap ko –apne dr se milna chahiye jo khoon ki jaanch kar sakta hai aur aap ki history haasil kar sakta hai taakay aap ko behtar honay mein madad miley. kuch hormonal Maney hamal adwiyaat un khawateen ya larkiyon ke liye registered hain jin ko mahvari mein bohat ziyada khoon aata hai jinhein Maney hamal ki bhi zaroorat hoti hai .",,
How to reduce period cramps?,"To reduce period cramps and pain you can try the following things: placing a heating pad on your belly or lower back, or having a hot bath. Cramps are a pretty standard part of having your period. But if your period pain is so painful that you can’t take part in everyday life, please consult your doctor.",1,mahvari ke dard ko kaisay kam kya jaye ?,"mahvari ke dard aur dard ko kam karne ke liye aap darj zail cheeze aazma satke hain : –apne pait ya kamar ke nichale hissay par hating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le satke to barah karam apne dr se rujoo karen .",same comments as on the other file,
How do I know if I have irregular periods?,"Your period is irregular if it comes more frequently than 21 days, or you go 35 days or more between period.",1,mein kaisay jaan sakti hon ke agar mujhe be qaida mahvari hai ?,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap ki mahvari ke darmiyan 35 din ya is se ziyada guzar jatay hain .",,
Why are my periods irregular,"Sometimes irregular periods can be caused by some medicines, exercising too much, too low body weight, too high body weight, hormonal imbalances such as thyroid hormone level abnormalities can also cause irregular periods. Please consult with your doctor to get a proper diagnosis. ",1,mere mahvari be qaida kyun hain ?,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap ki mahvari ke darmiyan 35 din ya is se ziyada guzar jatay hain .",,
How to treat irregular periods?,Making lifestyle changes to reduce or manage stress and maintain a healthy body weight may help regulate periods. Please consult your doctor to discuss treatment plans.,1,fasid mahvari ka ilaaj kaisay karen ?,tanao ko kam karne ya un ka intizam karne aur sehat mand jismani wazan ko barqarar rakhnay ke liye tarz zindagi mein tabdeelian karne se mahvari ko munazzam karne mein madad mil sakti hai. ilaaj ke mansoobon par baat karne ke liye apne dr se rujoo karen .,,
What is the difference between hormonal imbalance and irregular periods?,"A hormonal imbalance means that women or girls have too much or too little of a certain hormone (like estrogen and progesterone). Hormonal imbalances can be caused by unusually high stress, injury, trauma, and thyroid problems among other things. Estrogen, progesterone, testosterone, thyroxin, insulin and cortisol levels can be detected in the blood through blood tests. Please talk to your doctor for individual medical advice. Hormonal imbalance maybe the reason for irregular periods. Irregular periods is when the length of the menstrual cycle keeps changing. Young women whose cycles are not yet so well established often have hormonal fluctuations that can cause irregular periods.",1,hormonal adam tawazun/imbalance aur fasid Mahvari mein kya farq hai ?,"hormonal adam tawazun/imbalance ka matlab hai ke khawateen ya larkiyon mein kisi khaas hormone ki miqdaar bohat ziyada ya bohat kam hoti hai ( jaisay estrogen aur progesterone ). hormonal adam tawazun/imbalance deegar cheezon ke ilawa ghair mamooli tor par ziyada tanao, chout, sadme aur thyroid ke masail ki wajah se ho sakta hai. khoon ke test ke zariye khoon mein estrogen, progesterone, testosterone, thyroxin, insoline aur cortisol ki satah ka pata lagaya ja sakta hai. barah karam infiradi tibbi mashwaray ke liye apne dr se baat karen. hormonal adam tawazun/imbalance fasid mahvari ki wajah ho sakta hai. fasid mahvari is waqt hoti hai jab mahvari ki lambai musalsal badalti rehti hai. nojawan khawateen jin ke cycle abhi itnay achay tareeqay se qaim nahi hue hain un mein aksar hormonal utaar charhao hota hai jo be qaida mahvari ka sabab ban sakta hai .",,
What causes hormonal imbalance?,"A hormonal imbalance means that women or girls have too much or too little of a certain hormone (like estrogen and progesterone). Hormonal imbalances can be caused by unusually high stress, injury, trauma, and thyroid problems among other things. Estrogen, progesterone, testosterone, thyroxin, insulin and cortisol levels can be detected in the blood through blood tests. Please talk to your doctor for individual medical advice.",0.5,hormonal adam tawazun/imbalance ki kya wajah hai ?,"hormonal adam tawazun/imbalance ka matlab hai ke khawateen ya larkiyon mein kisi khaas hormone ki miqdaar bohat ziyada ya bohat kam hoti hai ( jaisay estrogen aur progesterone ). hormonal adam tawazun/imbalance deegar cheezon ke ilawa ghair mamooli tor par ziyada tanao, chout, sadme aur thyroid ke masail ki wajah se ho sakta hai. khoon ke test ke zariye khoon mein estrogen, progesterone, testosterone, thyroxin, insoline aur cortisol ki satah ka pata lagaya ja sakta hai. barah karam infiradi tibbi mashwaray ke liye apne dr se baat karen .",,
What are the symptoms of hormonal imbalance?,"Symptoms of hormonal imbalance include heavy or irregular periods, thinning hair or hair loss, weight gain or trouble losing weight, night sweats and many more.",0.5,hormonal adam tawazun/imbalance ki alamaat kya hain ?,"hormonal adam tawazun/imbalance ki alamaat mein bhaari ya be qaida mahvari, balon ka patla hona ya girna, wazan barhna ya wazan kam hona, raat ko paseena aana aur bohat kuch shaamil hain .",,
My Period Blood Color is Bright Red,"When your period blood is bright red, it means that it passed through your vagina fairly soon after entering your uterus. You're most likely to see bright red blood at the start of your period. You may also see brighter blood at times when you have cramps. That's because cramps occur when your uterus contracts, and contractions lead to heavier blood flow.",1,Meray Mahvari ka khoon Roshan Lal hai,"jab aap ka haiz ka khoon chamakdar surkh hota hai, to is ka matlab hai ke yeh aap ke reham mein daakhil honay ke kaafi jald baad aap ki andaam nihani/vagina se guzar gaya. aap ko apni mahvari ke aaghaz mein roshan surkh khoon dekhnay ka ziyada imkaan hai. jab aap ko dard hota hai to aap baaz auqaat roshan khoon bhi dekh satke hain. is ki wajah yeh hai ke dard is waqt hota hai jab aap ka bacha daani/uterus suker jata hai, aur sankejan/contractions se khoon ka bahao ziyada hota hai .",,
My period is dark red,"These colors suggest a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider.",1,Meray Mahvari ka khoon Ghera Lal hai,"yeh rang sust bahao ki tajweez karte hain. ziyada tar logon ke liye, cycle ke douran khoon gehra ho jata hai. is ki wajah yeh hai ke bacha daani/uterus ke Aster ke gehray hisson se purana khoon baad mein bahaya jata hai. aap ki paidaiesh ke baad ke hafton mein bhoora khoon bhi aam hai. taham, baaz sooraton mein gehra surkh ya bhoora khoon hamal ki ibtidayi alamat ho sakta hai aur siyah khoon andaam nihani/vagina ki rukawat ki alamat ho sakta hai. agar yeh rang aap ke liye ghair mutawaqqa ya ghair mamooli hain to apne health care faraham kanandah se baat karen .",,
My period is brown in color,"These colors suggest a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider.",1,Meray Mahvari ka Khoon Brown hai,"yeh rang sust bahao ki tajweez karte hain. ziyada tar logon ke liye, cycle ke douran khoon gehra ho jata hai. is ki wajah yeh hai ke bacha daani/uterus ke Aster ke gehray hisson se purana khoon baad mein bahaya jata hai. aap ki paidaiesh ke baad ke hafton mein bhoora khoon bhi aam hai. taham, baaz sooraton mein gehra surkh ya bhoora khoon hamal ki ibtidayi alamat ho sakta hai aur siyah khoon andaam nihani/vagina ki rukawat ki alamat ho sakta hai. agar yeh rang aap ke liye ghair mutawaqqa ya ghair mamooli hain to apne health care faraham kanandah se baat karen .",,
My period blood color is black ,"These colors suggest a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider.",1,Meray Mahvari ka Khoon Kala hai,"yeh rang sust bahao ki tajweez karte hain. ziyada tar logon ke liye, cycle ke douran khoon gehra ho jata hai. is ki wajah yeh hai ke bacha daani/uterus ke Aster ke gehray hisson se purana khoon baad mein bahaya jata hai. aap ki paidaiesh ke baad ke hafton mein bhoora khoon bhi aam hai. taham, baaz sooraton mein gehra surkh ya bhoora khoon hamal ki ibtidayi alamat ho sakta hai aur siyah khoon andaam nihani/vagina ki rukawat ki alamat ho sakta hai. agar yeh rang aap ke liye ghair mutawaqqa ya ghair mamooli hain to apne health care faraham kanandah se baat karen .",,
Can I get pregnant during my period,"Yes, although it's not very likely. If you have sex without using contraception, you can conceive (get pregnant) at any time during your menstrual cycle, even during or just after your period.",1,kya mein apni mahvari ke douran haamla ho sakti hon,"jee haan, agarchay yeh bohat ziyada imkaan nahi hai. agar aap Maney hamal ka istemaal kiye baghair jinsi talluq rakhtay hain, to aap apne mahvari ke douran kisi bhi waqt haamla ho sakti hain, yahan tak ke aap ki mahvari ke douran ya is ke foran baad .",,
Can I have sex during menstruating,"Intercourse during menstruation is not permitted in Islam. Besides that, unless you're especially squeamish, you can have sexual activity during your period.",1,kya mein haiz ke douran sex kar sakti hon?,"islam mein haiz ke douran jamaa ki ijazat nahi hai. is ke ilawa, jab tak ke aap khaas tor par badmizaaj nah hon, aap apni muddat ke douran jinsi sargarmi kar satke hain .",,
