Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
How to prevent bacterial vaginosis,"Vaginal bacteria can sometimes get out of balance and then improve on its own. To prevent BV, start by limiting your risk factors. Use condoms, don’t douche and keep all soap away from your vulva and vagina (some experts say non-foaming unscented soap is okay on the vulva, and others say stick to water). Don’t use any products with scents or perfumes in that area, and limit your bubble baths.

Often though, symptoms will persist or recur and need to be treated. Finding the source of the issue would be most helpful, but this is often difficult when so little is known about the causes of BV.",bacterial vaginosis ko kaisay roka jaye .,"andaam nihani/vagina ke bacteria baaz auqaat tawazun se bahar ho jatay hain aur phir khud hi behtar ho jatay hain. bv ko roknay ke liye, –apne khatray ke awamil ko mehdood karkay shuru karen. kndom istemaal karen, dotch nah karen aur tamam sabun ko apni volva aur andaam nihani/vagina se daur rakhen ( kuch mahireen kehte hain ke jhaag nah anay wala ghair khushbu wala sabun wolve par theek hai, aur dosray kehte hain ke pani se chipak jayen ). is ilaqay mein khushbu ya prfume wali koi bhi masnoaat istemaal nah karen aur –apne bulbala hamaam ko mehdood karen .
 
 agarchay aksar, alamaat barqarar rehti hain ya dobarah aati hain aur un ka ilaaj karne ki zaroorat hoti hai. maslay ke maakhuz ko talaash karna sab se ziyada madadgaar saabit hoga, lekin yeh aksar mushkil hota hai jab bv ki wajohaat ke baray mein bohat kam maloom hota hai ."
How to treat bacterial vaginosis,"Treatment of BV can range from antibiotics and antiseptics, to medications to restore acidity, to probiotics. Some treatments are available over the counter, but others will need a prescription. Tracking your symptoms, especially when they begin may help you and your healthcare provider identify triggers.

Unfortunately, it’s common for BV to return after treatment. The lack of understanding of what causes BV means treatments still have a long way to go to be effective in the long term. The FDA estimates the post-treatment “cure rate is under 4 in 10, with between 3 and 8 people having recurrence within several months. Limiting risk factors after treatment can help—talk to your healthcare provider about options.
",bacterial vaginosis ka ilaaj kaisay karen .,"bv ka ilaaj anti biotics aur jaraseem kash adwiyaat se le kar tezabiyat ko bahaal karne wali dawaiyon aur probiotics tak ho sakta hai. kuch ilaaj counter par dastyab hain, lekin doosron ko nuskhay ki zaroorat hogi. aap ki alamaat ka suraagh lagana, khaas tor par jab woh shuru ho jayen aap ko aur aap ke sehat ki dekh bhaal faraham karne walay ko muharikaat ki shanakht karne mein madad mil sakti hai .
 
 bad qismati se, ilaaj ke baad bv ka wapas aana aam hai. bv ki kya wajah hai is ki samajh mein kami ka matlab hai ke ilaaj ko taweel muddat mein mo-asar honay ke liye abhi bohat taweel safar tay karna hai. f d ae ka takhmeenah hai ke ilaaj ke baad"" ilaaj ki sharah 10 mein se 4 se kam hai, jis mein 3 se 8 ke darmiyan log kayi mahino ke andar dobarah honay lagtay hain. ilaaj ke baad khatray ke awamil ko mehdood karne mein madad mil sakti hai - ikhtiyarat ke baray mein –apne health care faraham kanandah se baat karen ."
Can talking about it with others help?,"If you’re up to it, talk about BV with your partners and friends. The lack of awareness around it is staggering considering just how common it is. Bringing knowledge of BV into public awareness helps prevent the stress that can come with having it.",kya doosron ki madad ke sath is ke baray mein baat kar satke hain ?,"agar aap is par munhasir hain to, –apne shiraakat daaron aur doston ke sath bv ke baray mein baat karen. is ke ird gird baydaari ki kami heran kin hai ke yeh kitna aam hai. bv ke baray mein maloomat ko awaami baydaari mein laane se is tanao ko roknay mein madad millti hai jo is ke honay se aasakta hai ."
This was helpful,I am glad to here that. Do you have more questions for me?,yeh madadgaar tha .,mein yahan par khush hon. kya aap ke paas mere liye mazeed sawalaat hain ?
"No, thanks","Alright, have a fantastic day. Bye!",nahi shukriya,"theek hai, aap ka din shandaar guzray. ’alvidah’ !"
My vagina dry? ,"The hormone estrogen helps to keep the vagina moist and to maintain the thickness of the vaginal lining. Atrophic vaginitis (vulvovaginal atrophy) is a common condition that can occur when the ovaries produce a decreased amount of estrogen, which includes the prominent symptom of vaginal dryness.",meri andaam nihani/vagina khushk hai me kya karun ?,"hormone estrogen andaam nihani/vagina ko num rakhnay aur andaam nihani/vagina ke aster/lining ki motai ko barqarar rakhnay mein madad karta hai. atrophic vaginitis ( vulvovaginal atrophy ) aik aam haalat hai jo is waqt ho sakti hai jab reham mein estrogen ki kam miqdaar peda hoti hai, jis mein andaam nihani/vagina ki khushki ki numaya alamat shaamil hai ."
Why is my sexual desire fluctuating?,"Your sexual desire is influenced by some of the same hormones that fluctuate with your cycle, like estrogen and progesterone. You may find your desire tends to increase in the days leading up to ovulation and decrease after ovulation is over. Sex drive may be lower when more progesterone is produced during the luteal phase (the days after ovulation and leading up to menstruation). Exactly how reproductive hormones influence desire and preference isn’t the same for everyone; some people report a higher sex drive as part of their premenstrual experience, while other present with decreased libido. Tracking desire throughout your cycle can help you discover what’s true for you.",meri jinsi khwahish mein utaar charhao kyun araha hai ?,"aap ki jinsi khwahish kuch unhi hormones se mutasir hoti hai jo aap ke cycle ke sath utaar charhao atay hain, jaisay estrogen aur progestrone. aap ko maloom ho sakta hai ke aap ki khwahish beza daani/ovary tak ke dinon mein barhti hai aur beza khatam honay ke baad kam hoti hai. sex drive kam hosakti hai jab luotel marhalay ke douran ziyada progestrone peda hota hai ( beza ke baad ke din aur mahvari tak ). bilkul kis terhan toleedi hormones khwahish aur tarjeeh ko mutasir karte hain sab ke liye yaksaa nahi hai. kuch log –apne haiz se pehlay ke tajarbay ke hissay ke tor par ziyada sex drive ki ittila dete hain, jab ke kuch log jinsi khwahish mein kami ke sath mojood hotay hain. –apne poooray daur mein khwahish ka suraagh lagana aap ko yeh daryaft karne mein madad kar sakta hai ke aap ke liye kya sach hai ."
What are treatments for vaginal dryness,"If you’re experiencing dryness since being on medication or a form of hormonal birth control: talk to your healthcare provider about trying another one that’s a better fit for your body.
If you suspect your dryness could be caused by low estrogen levels, there are several treatment options: vaginal moisturizers or lubricants, local vaginal estrogen cream or tablet. See your healthcare provider to find out what’s the best option for you.
If what your sexual partner is doing doesn’t work for you: you could try discussing your sexual likes and dislikes.
If you feel turned on but you’re not wet: spending more time on foreplay can be one way to increase your natural lubrication. Another option is to use personal lubricant (lube) during sexual activity.",andaam nihani/vagina ki khushki ke ilaaj kya hain ?,"agar aap dawaiyon ya hormonal birth control ki aik shakal ke baad se khushki ka saamna kar rahay hain to : –apne health care faraham kanandah se baat karen ke koi aur aazmayen jo aap ke jism ke liye behtar ho .
 agar aap ko shak hai ke aap ki khushki kam estrogen ki satah ki wajah se hosakti hai, to ilaaj ke kayi ikhtiyarat hain : andaam nihani/vagina ke moisturize ya chikna karne walay maday, muqami andaam nihani/vagina estrogen kareem ya goli. yeh jan-nay ke liye ke aap ke liye behtareen option kya hai –apne health care faraham kanandah se milein .
 agar aap ka jinsi saathi jo kuch kar raha hai woh aap ke liye kaam nahi karta hai : aap apni jinsi pasand aur napasand par baat karne ki koshish kar satke hain .
 agar aap mehsoos karte hain ke aap aan hain lekin aap geelay nahi hain : for pallay par ziyada waqt guzaarna aap ke qudrati chikna ko badhaane ka aik tareeqa ho sakta hai. dosra option yeh hai ke jinsi amal ke douran zaati chikna karne wala ( lube ) istemaal kya jaye ."
Are there any uncommon reasons for vaginal dryness,"Aside from sexual arousal and estrogen levels, there are additional factors that can affect vaginal lubrication:

Vaginal dryness can be a side effect of some medications and contraceptives. Talk to your healthcare provider to find out if the source of your vaginal dryness could actually be your medication or contraception.  However, there are several ",kya andaam nihani/vagina ki khushki ki koi ghair mamooli wajohaat hain ?,"jinsi hosla afzai aur estrogen ki satah ke ilawa, izafi awamil hain jo andaam nihani/vagina ki chikna ko mutasir kar satke hain :
 
 andaam nihani/vagina ki khushki kuch adwiyaat aur Maney hamal adwiyaat ka zimni assar ho sakta hai. yeh jan-nay ke liye –apne health care faraham kanandah se baat karen ke aaya aap ki andaam nihani/vagina ki khushki ka zareya aap ki dawa ya Maney hamal ho sakta hai. taham, kayi hain"
Does my vagina need cleaning?,"Your vagina is self-cleaning, so there is no need to use any internal washes (douches) or vaginal deodorants—in fact, they can be harmful. Research has linked the practice of douching with increased risk of bacterial and yeast infections, pelvic inflammatory disease, cervical cancer, increased transmission of STIs, upper genital tract infections, endometritis (inflammation of the lining of the uterus), and other adverse health outcomes",kya meri andaam nihani/vagina ko saaf karne ki zaroorat hai ?,"aap ki andaam nihani/vagina khud ki safai karti hai, is liye kisi bhi androoni wash ( dotchز ) ya andaam nihani/vagina ke dyodornt istemaal karne ki zaroorat nahi hai - dar haqeeqat, woh nuqsaan da ho satke hain. tehqeeq ne douching ke amal ko bacterial aur khameer/yeast ke infection, shoroni soozish ki bemari, cervical cancer, stis ki barhti hui muntaqili, oopri genital ki naali ke infection, endometritis ( bacha daani/uterus ki aster/lining ki soozish ) aur deegar manfi sehat ke nataij se jora hai ."
How to identify abnormal discharge,"Atypical (abnormal) discharge can be an indication of a problem, such as Bacterial Vaginosis, a yeast infection, or an STI like trichomoniasis. Here are some indicators of abnormal discharge:

Color: Grayish, greenish, yellowish, brownish
Volume: Significant amount, often with other symptoms like itching
Consistency: Fluid becomes way thinner, or thicker and more textured
Smell: Unpleasant, fishy, metallic
Excluding atypical discharge, it’s normal to notice different types of vaginal fluid throughout your cycle, as well as during and after sexual activity.",ghair mamooli kharij honay walay madah/fluid ki shanakht kaisay karen .,"ghair mamooli ( ghair mamooli ) kharij honay wala madah/fluid kisi maslay ka ishara ho sakta hai, jaisay ke bacterial Vaginosis , khameer/yeast ka infection, ya trichomoniasis jaisa s tea aayi. yahan ghair mamooli kharij honay walay madah/fluid ke kuch isharay hain :
 
 rang : surmai, sabz, peela, bhoora
 hajam : ahem miqdaar, aksar deegar alamaat jaisay kharish ke sath
 mustaqil mizaji : seyal/fluid bohat patla, ya gaarha aur ziyada banawat wala ho jata hai .
 bo : nakhushgawaar, machhli, dhaati
 ghair mamooli kharij honay walay madah/fluid ko chore kar, aap ke poooray daur mein andaam nihani/vagina ke seyal/fluid ki mukhtalif aqsam, neez jinsi sargarmi ke douran aur baad mein dekhna mamool hai ."
I am confused,Feel free to ask me any questions you have. I am here to clarify any confusions you have,mein uljan ka shikaar hon,bilaa jhijhak mujh se koi sawal poucheen. mein yahan aap ki kisi bhi uljan ko wazeh karne ke liye haazir hon .
My mom is saying I can't have cold water while I am on my periods,,meri maa keh rahi hai ke mein apne mahvari ke douran thanda pani nahi pi sakta,"Periods ke dauran, aap thanda aur garam, donon paani pi sakti hain"
How does my breasts change before my first period,"Changes to your nipples and breasts may be the first thing you notice. In the beginning, the small bumps around your nipples become raised. Then, the darker area of your nipples will get bigger and start to puff out. These are called breast buds. This can happen on both sides at the same time, or on just one side at first. If it happens on one side, it can take up to 6 months for the other side to catch up. 

Most people first get their first period 2–3 years after their breast begin to grow. If your breast buds develop later than most people in your class, like when you’re 13, it may take less than a year for your period to start.  ",meri pehli mahvari se pehlay mere chhaati kaisay bdalty hain .,"aap ke nipples aur chatiyon mein tabdeeli pehli cheez ho sakti hai jisay aap mehsoos karte hain. shuru mein, aap ke nipples ke ird gird chhootey takra ubhray hue hain. is ke baad, aap ke nipples ka gehra hissa bara ho jaye ga aur phoolna shuru ho jaye ga. un ko breast bdz kehte hain. yeh aik hi waqt mein dono taraf ho sakta hai, ya pehlay sirf aik taraf. agar yeh aik taraf hota hai, to doosri taraf ko pakarney mein 6 mahinay lag satke hain .
 
 ziyada tar logon ko pehli baar apni chhaati ke bherne ke 2-3 saal baad aata hai. agar aap ki chhaati ki kaliyan aap ki class ke ziyada tar logon ke muqablay mein baad mein banti hain, jaisay ke jab aap 13 saal ke hotay hain, to aap ki mahvari shuru honay mein aik saal se bhi kam waqt lag sakta hai ."
How does my pubic hair change before my first period,"After breast buds, you may notice the first signs of pubic hair. Just a few long hairs may sprout up at first. You’ll grow more pubic hair with time, and that hair will get curlier, thicker, and spread out towards you thighs. 

There is a chance you’ll see some pubic hair before your breasts start to grow, but most people see it the other way around.

You probably won’t see any hair under your arms until around the time your period begins, or just before that
The shape and height of your body will also be changing around this time. By the time you notice breast buds, your whole body will have already started growing more quickly. ",meri pehli mahvari se pehlay mere zair naaf baal kaisay bdalty hain ?,"chhaati ki kaliyon ke baad, aap zair-e naaf balon ki pehli alamaat dekh satke hain. shuru mein sirf chand lambay baal agg satke hain. aap ke zair-e naaf baal waqt ke sath barheen ge, aur woh baal ghungheryalay, ghany aur aap ki ranon ki taraf phail jayen ge .
 
 aik mauqa hai ke aap ko apni chatiyon ke bherne se pehlay naaf ke kuch baal nazar ayen ge, lekin ziyada tar log usay is ke bar aks dekhte hain .
 
 aap ko shayad aap ke baazuon ke neechay koi baal nazar nahi aaye ga jab tak ke aap ki mahvari shuru nahi hoti, ya is se kuch pehlay
 is waqt aap ke jism ki shakal aur qad bhi badalta rahay ga. jab tak aap chhaati ki kaliyon ko dekhen ge, aap ka poora jism pehlay hi taizi se barhna shuru kar chuka hoga ."
How does my body shape change before my first period,"Your body’s shape and size also change quickly before your period starts. Your biggest growth spurt may be about six months to a year before your first period (this is the case for most people, not for all). If you notice your height increases fast and then starts to slow, your first period may be on its way. It’s also normal for the size of your pants to get bigger as your hips widen. Some parts of your body will become fattier and rounder, while other parts stay the same. You might notice this begin around the same time your breast buds start to grow. 
The exact timing of your body’s growth will be unique to you.",meri pehli mahvari se pehlay mere jism ki shakal kaisay badalti hai .,"aap ki mahvari shuru honay se pehlay aap ke jism ki shakal aur size bhi taizi se badal jatay hain. aap ki sab se barri taraqqi aap ki pehli mahvari se chay mah se aik saal pehlay hosakti hai ( yeh ziyada tar logon ke liye hota hai, sab ke liye nahi ). agar aap dekhte hain ke aap ka qad taizi se barhta hai aur phir aahista hona shuru ho jata hai, to ho sakta hai aap ki pehli mahvari khatam honay wali ho. aap ke kullho ke choray hotay hi aap ki patlon ka size bara hona bhi mamool hai. aap ke jism ke kuch hissay ziyada motay aur gole ho jayen ge, jabkay dosray hissay waisay hi rahen ge. aap dekh satke hain ke yeh isi waqt shuru hota hai jab aap ki chhaati ki kaliyan barhna shuru hoti hain .
 aap ke jism ki nashonuma ka sahih waqt aap ke liye munfarid hoga ."
How does my vaginal fluid change before my first period,"Sometime after your breasts start to grow, you may notice a change to the fluid in your vagina, and it may feel a bit wetter than before. Some people will notice this about 6–12 months before a first period. It will likely be a thin, whitish liquid, and won’t have much of a smell. 

As you get close to your first period, you may be able to notice the fluid from your vagina changing day-to-day. Even if you haven’t had a period yet, this is the beginning of your menstrual cycle, which is way more than just your period.",meri pehli mahvari se pehlay meri andaam nihani/vagina ka seyal/fluid kaisay tabdeel hota hai .,"aap ki chatiyon ke bherne ke kuch der baad, aap apni andaam nihani/vagina mein seyal/fluid mein tabdeeli mehsoos kar satke hain, aur yeh pehlay ke muqablay mein thora geela mehsoos kar sakta hai. kuch log usay pehli mahvari se taqreeban 6-12 mah pehlay mehsoos karen ge. yeh mumkina tor par aik patla, safaid rang ka maya hoga, aur is mein ziyada bo nahi hogi .
 
 jaisay jaisay aap apni pehli mahvari ke qareeb pohnchain ge, aap apni andaam nihani/vagina se rozana bdalty hue seyal/fluid ko dekh saken ge. yahan tak ke agar aap ko abhi tak haiz nahi aaya hai, to yeh aap ke mahvari ka aaghaz hai, jo ke aap ki mahvari se kahin ziyada hai ."
How does my hair change during periods ,"Many of the changes you may be associating with your hair throughout your cycle are due to the changes in oil production from your sebaceous glands. Since sebum (oil produced by the sebaceous gland) and the hair follicle exit from the same opening in the skin, the hair and skin surrounding may be coated in sebum. One study had an interesting finding: even if more bad hair days were registered around the time of menstruation, they did not correlate with increases in scalp sebum levels. There was not a clear explanation for the bad hair days—perhaps it’s due to a difference in participants’ personal perception of their hair. Is the change on your head or in your head? Interesting right?",mahvari ke douran mere baal kaisay bdalty hain .,"bohat si tabdeelian jo aap –apne cycle ke douran –apne balon se munsalik kar satke hain woh aap ke sebaceous ghudood se tail ki pedawar mein honay wali tabdeelion ki wajah se hain. chunkay sebum ( sebaceous ghudood se peda honay wala tail ) aur balon ke follicle jald mein aik hi sorakh se bahar nikaltay hain, is liye balon aur is ke aas paas ki jald sebum mein lapit ho sakti hai. aik tehqeeq mein aik dilchasp nateeja samnay aaya : yahan tak ke agar haiz ke douran balon ke ziyada kharab din register kiye gaye thay, to woh khopdi ke sebum ki satah mein izafay ke sath koi talluq nahi rakhtay thay. balon ke kharab dinon ki koi wazeh wazahat nahi thi - shayad is ki wajah un ke balon ke baray mein shurka ke zaati khayaal mein farq hai. tabdeeli aap ke sir par hai ya aap ke sir mein? dilchasp hai na ?"
"Oh, that is interesting. Can hormones also affect hair changes?","Some hormonal contraceptive medications (like chlormadinone acetate, a synthetic progesterone which provides anti-androgen activity) may also affect hair and skin quality. In one study of people taking these medications, participants had decreased sebum production and improved perceived hair quality. Sebum production is influenced by your hormones, particularly androgens (like testosterone). Sebum production often ramps up greatly during puberty, often being produced at high amounts between the ages of 15 to 35, as assessed on the skin. Estrogen also influences sebum production, especially at high doses. 
","oh, yeh dilchasp hai. kya hormones balon ki tabdeelion ko bhi mutasir kar satke hain ?","kuch hormonal Maney hamal adwiyaat ( jaisay chlormadinone acetate, aik masnoi progestrone jo anti endrogen sargarmi faraham karti hai ) balon aur jald ke miyaar ko bhi mutasir kar sakti hain. yeh adwiyaat lainay walay logon ke aik mutalea mein, shurka ne sebum ki pedawar mein kami ki thi aur balon ke miyaar ko behtar banaya tha. sebum ki pedawar aap ke hormones, khaas tor par endrogen ( jaisay tistostiron ) se mutasir hoti hai. sebum ki pedawar aksar baloghat ke douran bohat ziyada barh jati hai, aksar 15 se 35 saal ki Umar ke darmiyan ziyada miqdaar mein peda hoti hai, jaisa ke jald par andaza lagaya jata hai. estrogen sebum ki pedawar ko bhi mutasir karta hai, khaas tor par ziyada miqdaar mein ."
I have a question,How can I help?,mera aik sawal hai,mein kis terhan madad kar sakta hon ?
Can I prevent premenstrual bloating and period diarrhea,"There isn’t a lot of research on how to treat the specific type of stomach complaints that accompany menstruation. As a rule of thumb, when you have diarrhea, it’s good to drink a lot of liquids to replace the ones you lose through your stool. Drinking and eating salt might help, so you can try soups, plain crackers, or sports drinks. Avoid dairy products, soda, and juice. If your period diarrhea lasts for longer than a couple of days, check in with your healthcare provider.

If you struggle with monthly digestive issues around the time of your period, one option is to talk to your healthcare provider about starting a form of contraception that can help you skip your periods, like oral contraceptive pills",kya mein mahvari se pehlay aphara aur muddat ke ishaal ko rokkk sakta hon ?,"haiz ke sath pait ki makhsoos qisam ki shikayaat ka ilaaj karne ke baray mein bohat ziyada tehqeeq nahi hai. angothay ke usool ke tor par, jab aap ko ishaal hota hai, to yeh acha hai ke aap –apne pakhanay ke zariye kho jane walay mayaat ko tabdeel kar saken. namak peenay aur khanay se madad mil sakti hai, lehaza aap soop, saada krikr, ya khelon ke mashrobat aazma satke hain. doodh ki masnoaat, sodda aur juice se parhaiz karen. agar aap ka dorania ishaal chand dinon se ziyada arsa tak rehta hai, to –apne health care faraham kanandah se rabita karen .
 
 agar aap apni mahvari ke douran haazma ke masail ke sath jad-o-jehad karte hain, to aik option yeh hai ke aap –apne sehat ki dekh bhaal faraham karne walay se Maney hamal ki aik shakal shuru karne ke baray mein baat karen jo aap ko mahvari ko chorney mein madad day sakti hai, jaisay ke Maney hamal golian ."
Why am I getting a diarrhea during my periods,"When your body releases these prostaglandins (pro-inflammatory chemical-messengers), stimulating your uterus to contract, your endometrial lining is released from your uterus. These prostaglandins, combined with a sharp drop in the ovarian hormones estrogen and progesterone, are believed to be responsible for gastrointestinal changes prior to and during menstruation. This is believed to be because prostaglandins may also act on the nearby intestinal tissue, causing inflammation.",mujhe mahvari ke douran ishaal kyun ho raha hai ?,"jab aap ka jism un prostaglandins (pro-inflammatory chemical messenger ) ko jari karta hai, jo aap ke bacha daani/uterus ko sukarnay ki tehreek deta hai, to aap ka endometrial aster/lining aap ke reham se kharij hota hai. yeh ovarian hormones estrogen aur progestrone mein taizi se kami ke sath mil kar, haiz se pehlay aur is ke douran maiday ki tabdeelion ke liye zimma daar manay jatay hain. is ki wajah yeh khayaal kya jata hai ke prostaglandins qareebi anton ke bafton par bhi kaam kar satke hain, jis se soozish hoti hai ."
Does everyone get affected by this?,"Not everyone may notice this shift in stool patterns. One study found that around 50% of people with IBS or other bowel disorders experience a change in bowel habits around the time of their period. In comparison, only a third of women without bowel disorders experienced a bowel change related to menstruation. This means that not everybody experiences diarrhea or other gastrointestinal discomfort during their periods. If a person already lives with bowel discomforts, they may be more likely to have changes in bowel habits around menstruation",kya har koi is se mutasir hota hai ?,"har koi pakhana ke namonon mein is tabdeeli ko mehsoos nahi karsaktha. aik tehqeeq se pata chala hai ke aayi bi s ya anton ke deegar amraaz mein mubtala taqreeban 50 % log apni muddat ke douran anton ki aadaat mein tabdeeli ka tajurbah karte hain. is ke muqablay mein, anton ki kharabi ke baghair sirf aik tahai khawateen ne haiz se mutaliq anton mein tabdeeli ka tajurbah kya. is ka matlab yeh hai ke har aik ko apni mahvari ke douran ishaal ya maiday ki deegar takleef ka saamna nahi hota hai. agar koi shakhs pehlay se hi anton ki takleef ke sath rehta hai, to is ke haiz ke douran anton ki aadaat mein tabdeeli ka imkaan ziyada ho sakta hai ."
What is causing my Heavy Menstrual Bleeding,"There are a variety of conditions that can cause HMB. The most common conditions include:
Polyps, or growths in the uterine lining, usually cause spotting or bleeding between periods and sometimes HMB.
Uterine fibroids, benign growths (smooth muscle tumors) on the uterus, also known as leiomyomas, can sometimes cause HMB.
Cancers and precancers are very uncommon, but important, causes of abnormal bleeding, particularly for individuals under the age of 40. ",mere mahvari mein bhaari khoon behnay ki wajah kya hai ?,"mukhtalif qisam ke halaat hain jo hmb ka sabab ban satke hain. sab se aam halaat mein shaamil hain :
 polyps, ya bacha daani/uterus ke aster/lining mein izafah, aam tor par mahvari aur baaz auqaat hmb ke darmiyan dhabbay ya khoon behnay ka sabab bantaa hai .
 bacha daani/uterus ke fibroids, bacha daani/uterus par somi nashonuma ( hamwar pathon ke tumor ), jisay leiomyomas bhi kaha jata hai, baaz auqaat hmb ka sabab ban sakta hai .
 cancer aur precancers bohat ghair mamooli hain, lekin ahem hain, ghair mamooli khoon behnay ki wajohaat, khaas tor par 40 saal se kam Umar ke afraad ke liye ."
But I don't know how to identify them and I am scared.,"Any of the following can help you identify heavy periods:

Your menstrual period lasts longer than seven days.
Your flow soaks through tampons or pads every hour for a few hours in a row.
You need to change pads or tampons during the night.
You have multiple grape-sized (or larger) blood clots.
Your heavy menstrual flow keeps you from doing things you would normally do.
You are tired, have a lack of energy or are short of breath.
You feel heavy pain in your abdomen and lower back.
",lekin mujhe nahi maloom ke un ki shanakht kaisay ki jaye aur mein khaufzadah hon .,"darj zail mein se koi bhi aap ko bhaari adwaar ki shanakht mein madad kar sakta hai :
 
 aap ki mahvari saat din se ziyada rehti hai .
 aap ka bahao tempon ya pad ke zariye har ghantay lagataar chand ghanton tak bhigota hai .
 aap ko raat ke waqt pad ya tempon tabdeel karne ki zaroorat hai .
 aap ke paas angoor ke size ke mutadid ( ya barray ) khoon ke jamnay hain .
 aap ki mahvari ka bhaari bahao aap ko un kamon se rokta hai jo aap aam tor par karte hain .
 aap thakey hue hain, aap mein tawanai ki kami hai ya aap ko saans lainay mein takleef hai .
 aap ko –apne pait aur kamar ke nichale hissay mein shadeed dard mehsoos hota hai ."
"What should I do for heavy periods, it is very uncomfortable","To treat HMB (heavy menstrual bleeding), you and your healthcare provider need to determine its cause or causes. This can be done by a few simple tests including a blood test, a transvaginal ultrasound and/or taking a sample tissue from the uterine lining (endometrial biopsy).
Some of the causes include polyps, fibroids, cancer, blood clotting, and iron deficiency. Each of these causes would have a different treament. ","mein bhaari haiz ke liye kya karoon, yeh bohat be cheeni hai","hmb ke ilaaj ke liye aap ko aur aap ke health care faraham kanandah ko is ki wajah ya wajohaat ka taayun karne ki zaroorat hai. yeh chand saada tiston ke zariye kya ja sakta hai jis mein khoon ka test, trans vaginal altrasaond aur ya uterin aster/lining ( endometrial biopsy ) se tissue ka namona lena shaamil hai .
 kuch wajohaat mein polyps, fibroids, cancer, khoon ka jamna, aur iron ki kami shaamil hain. un wajohaat mein se har aik ka ilaaj mukhtalif hoga ."
What does the color of your period blood mean?,"Blood changes color depending on how long it has been exposed to air oxygenation. When you get your periods, your endometrium (inner lining of your uterus) does not separate all at once, it takes time for your endometrial tissue to make its way down through your cervix and vagina. This initial blood and tissue may appear dark red or brown, or even black because it takes longer to exit your body. As tissue breaks away, it leaves torn ends of blood vessels that continue to bleed. This is where the bright red blood you may see during your period comes from. As bleeding slows toward the end of a period, it may once again appear darker red or brown.",aap ke mahvari ke khoon ke rang ka kya matlab hai ?,"khoon ka rang badalta hai is baat par munhasir hai ke yeh sun-hwa ke oxygen ke kitney arsay se samnay aaya hai. jab aap ko mahvari aati hai, to aap ka endometrium ( aap ke reham ki androoni aster/lining ) aik sath allag nahi hota, aap ke endometrial tissue ko aap ke garewa aur andaam nihani/vagina ke zariye neechay anay mein waqt lagta hai. yeh ibtidayi khoon aur baftin gehray surkh ya bhooray, ya yahan tak ke siyah bhi nazar askati hain kyunkay aap ke jism se bahar niklny mein ziyada waqt lagta hai. jaisay hi tissue toot jata hai, yeh khoon ki nalion ke phatay hue suron ko chore deta hai jin se khoon jari rehta hai. yeh woh jagah hai jahan se aap ko mahvari ke douran chamakdar surkh khoon nazar aata hai. jaisa ke aik muddat ke ekhtataam ki taraf khoon behna sust ho jata hai, yeh aik baar phir gehra surkh ya bhoora zahir ho sakta hai ."
"I noticed different colours of blood throughout my period, do they have any significance","At the beginning or end of your period, blood can be a dark brown/red shade and can have a thick consistency—but it’s also normal for the first signs of your period to be bright red and more liquid.

If you notice brown period blood at the start or end of your period, it’s because the blood is older and took longer to leave your uterus. The uterine lining darkens the longer it takes to leave the body.

Period blood clots are normal on the heaviest days of your period and can appear deep red or almost dark black as well.","mein ne apni mahvari ke douran khoon ke mukhtalif rang dekhe, kya un ki koi ahmiyat hai ?","aap ki mahvari ke aaghaz ya ekhtataam par, khoon gehra bhoora saya ho sakta hai aur is mein gaarha mustaqil mizaji ho sakta hai — lekin aap ki mahvari ki pehli alamaat ka roshan surkh aur ziyada maya hona bhi mamool hai .
 
 agar aap ko apni mahvari ke aaghaz ya ekhtataam par brown period ka khoon nazar aata hai, to is ki wajah yeh hai ke khoon purana hai aur aap ke reham se niklny mein ziyada waqt lagta hai. bacha daani/uterus ki parat siyah ho jati hai jism se niklny mein jitna ziyada waqt lagta hai .
 
 aap ki mahvari ke sab se bhaari dinon mein khoon ke jamnay mamool ki baat hai aur yeh gehray surkh ya taqreeban gehray siyah bhi zahir ho satke hain ."
What does it mean if my period blood is bright red?,"Period flow typically becomes heavier on the second or third day of the cycle as the uterine lining sheds faster/lining. Bright red period blood is newer blood, thus it doesn’t have time to darken before it exits your body.",agar mera haiz ka khoon chamakdar surkh ho to is ka kya matlab hai ?,"dorania ka bahao aam tor par cycle ke dosray ya teesray din bhaari ho jata hai kyunkay bacha daani/uterus ki parat taizi se beh jati hai. roshan surkh daur ka khoon aik naya khoon hai, is terhan aap ke jism se bahar niklny se pehlay is ke paas siyah honay ka waqt nahi hota hai ."
